001	DEPOSITADO	0	Acompanhar o pedido em questão na RPI.	Depositado o PEDIDO DE REGISTRO DA MARCA em questão.	FALSO	FALSO
029	EXIGÊNCIA	60	Cumprir exigência	Recolha e/ou complemente a RETRIBUIÇÃO devida, no exato va- lor fixado na  tabela, em vigor na data da  comprovação do cumpri-mento desta exigência,junto ao INPI,referente a pedido de TRANS-FERÊNCIA e/ou ALTERAÇÃO DE NOME ou SEDE. Recolha tam-bém a retribuição de EXIGÊNCIA.	FALSO	FALSO
030	EXIGÊNCIA	60	Esclareça os códigos no prazo legal	Preste esclarecimentos quanto ao(s) CÓDIGO(S) DE PRODUTO(S) SERVICO(S) reivindicados(s) a vista do objeto social declarado.	FALSO	FALSO
032	EXIGÊNCIA	60	Cumprir exigência	Preste esclarecimentos dos PRODUTOS/SERVIÇOSespecificados à vista do  OBJETO SOCIAL  declarado,  indicando se for o caso a classe correspondente.	FALSO	FALSO
033	EXIGÊNCIA	60	Cumprir exigência	Diga se deseja prosseguir na classe abaixo indicada à vista dos PRODUTOS/SERVICOS especificados.	FALSO	FALSO
035	EXIGÊNCIA	60	Esclareça atividade no prazo legal	Preste esclarecimentos quanto ao(s) PRODUTO(S)/SERVICO(S)   reivindicado(s), à vista do objeto social declarado.	FALSO	FALSO
041	EXIGÊNCIA	60	Cumprir exigência	Prove a requerente ser titular ou apresente competente AUTORZA-ÇÃO DE USO  como marca do nome civil ou sua assinatura,  nome de família ou patronimíco,  imagem de terceiros,  pseudônimo ou a-pelido notoriamente conhecidos, nome artístico, singular ou  coleti-vo, obra artística ou literária.	FALSO	FALSO
042	EXIGÊNCIA	60	Cumprir exigência	Prove a requerente ser titular do nome civil, nome de família ou pa-tronímico, ou apresente competente AUTORIZAÇÃO adaptando-o a forma mista com  suficiente cunho distintivo, se for o caso.	FALSO	FALSO
043	EXIGÊNCIA	60	Cumprir exigência	Apresente  DOCUMENTAÇÃO COMPROBATÓRIA da constituição da empresa ou do registro do título do estabelecimento devidamen-te arquivada no órgão competente.	FALSO	FALSO
045	EXIGÊNCIA	60	Apresente provas no prazo legal	Prove que o signatário do documento de CESSÃO tem PODERES  contratuais e/ou estatutários para alienar a marca.	FALSO	FALSO
050	EXIGÊNCIA	60	Cumpra a exigência	Cumpra a EXIGÊNCIA formulada no pedido de ALTERAÇÃO DE NOME E/OU DE SEDE/ENDEREÇO,  observando o complemento.	FALSO	FALSO
060	EXIGÊNCIA	60	Cumprir exigência	Cumpra a EXIGÊNCIA formulada EM GRAU DE RECURSO, obser-vando o disposto no complemento	FALSO	FALSO
090	EXIGÊNCIA	60	Cumprir exigência.	Cumpra a EXIGÊNCIA, observando o disposto no complemento.	FALSO	FALSO
091	EXIGÊNCIA	60	Cumprir exigência	CUMPRA EXIGÊNCIA formulada ao pedido de TRANSFERÊNCIA, observando o disposto no complemento	FALSO	FALSO
096	COMPROVAÇÃO	60	Comprovar recolhimento referente à CERTIFICADO REGISTRO	Conforme Resolução nº 123, de 06/01/2006, em vista do agrupamento total solicitado, COMPROVE JUNTO AO INPI, no prazo de 60 (sessenta) dias contado desta publicação, o recolhimento referente à EXPEDIÇÃO DE CERTIFICADO DE REGISTRO E PROTEÇÃO AO 1º DECÊNIO, no exato valor fixado na tabela, em vigor na data da comprovação	FALSO	FALSO
100	INDEFERIMENTO	60	Interpor o recurso	INDEFERIDO O PEDIDO DE REGISTRO, com base na norma legal indicada.	FALSO	FALSO
120	INDEFERIMENTO ALTERACAO	60	Interpor o recurso	INDEFERIDO  o pedido de  ANOTAÇÃO DE ALTERAÇÃO DE NOME E/OU DE SEDE, com base na norma legal indicada.	FALSO	FALSO
125	INDEFERIMENTO TRANSFERÊNCIA	60	Interpor o recurso	INDEFERIDO o pedido de ANOTAÇÃO DE TRANSFERÊNCIA, com base  na norma legal indicada..	FALSO	FALSO
145	ARQUIVAMENTO	1825	Analisar medida judicial.	ARQUIVADO o pedido de registro,  FACE AO  DECURSO DO PRAZO PARA INTERPOSIÇÃO DE RECURSO ao despacho denegatório anteriormente publicado, ENCERRANDO - SE  A INSTÂNCIA ADMINISTRATIVA.	VERDADEIRO	FALSO
150	ARQUIVAMENTO	1850	Analisar medida judicial.	ARQUIVADO o pedido de registro, com base na norma legal indica-da, ENCERRANDO-SE A INSTÂNCIA ADMINISTRATIVA.	VERDADEIRO	FALSO
151	ARQUIVAMENTO	0	Analisar despacho	ARQUIVADO o pedido de registro de EXPRESSÃO DE PROPA-GANDA com base no Art. 233 da LPI.	VERDADEIRO	FALSO
152	ARQUIVAMENTO	60	Analisar despacho para eventual recurso	Arquivado o pedido de registro, tendo em vista o AGRUPAMENTO solicitado, observando o disposto no complemento.	VERDADEIRO	FALSO
155	ARQUIVAMENTO	0	Informar Cliente.	ARQUIVADO o pedido de registro, por DESISTÊNCIA do requeren-te.	VERDADEIRO	FALSO
160	ARQUIVAMENTO	60	Interpor o recurso	ARQUIVADO o pedido de ANOTAÇÃO DE ALTERAÇÃO DE NOME e/ou DE SEDE, com base na norma legal indicada.	FALSO	FALSO
165	ARQUIVAMENTO	60	Interpor o recurso	ARQUIVADO o pedido de ANOTAÇÃO DE TRANSFERÊNCIA, com base na norma legal indicada.	FALSO	FALSO
170	INDEFERIMENTO PETIÇÃO	60	Interpor o recurso	INDEFERIDA A PETIÇÃO indicada.	FALSO	FALSO
171	ARQUIVAMENTO PETIÇÃO	60	Analisar interposição de eventual recurso	ARQUIVADA A PETIÇÃO indicada	FALSO	FALSO
174	PREJUDICADO	0	Comunicar Cliente	PREJUDICADO o despacho indicado. Exigência publicada na REPI........., de __/__/__, tendo em vista o Comunicado DIRMA de 16/12/2005, publicado na REPI 1826, de 03/01/2006, decorrente da Resolução nº 122, de 24/11/2005.	FALSO	FALSO
175	PREJUDICADA PETIÇÃO	60	Analisar eventual recurso	PREJUDICADA A PETIÇÃO indicada.	FALSO	FALSO
180	DESCONHECIDA PETIÇÃO	60	Interpor o recurso	NÃO CONHECIDA PETIÇÃO, com base na norma legal indicada.	FALSO	FALSO
185	HOMOLOGADA DESISTÊNCIA	0	Informar cliente.	HOMOLOGADA A DESISTÊNCIA requerida, através da petição indicada.	VERDADEIRO	FALSO
191	ARQUIVAMENTO EX-OFFICIO	60	Analisar interposicao de eventual recurso	ARQUIVADO EX-OFFICIO o pedido de registro, com base no Art. 135 da LPI	FALSO	FALSO
205	OPOSIÇÃO	60	Apresentar manifestação	OPOSIÇÃO(OES) de terceiro(s) indicado(s), face ao despacho  de viabilidade anteriormente publicado.	FALSO	FALSO
206	COMUNICAÇÃO DE REQUERIMENTO	60	Analisar eventual recurso.	COMUNICAÇÃO DE REQUERIMENTO de transformação de mar-ca GENÉRICA e ESPECÍFICA em marca COLETIVA ou de CERTI-FICAÇÃO	FALSO	FALSO
208	LIMITAÇÃO OU ÔNUS	60	Analisar eventual contestação	LIMITAÇÃO OU ÔNUS conforme indicado no complemento	FALSO	FALSO
209	DEVOLUÇÃO DE PRAZO	60	Examinar e cumprir despacho	RECONHECIDO O OBSTÁCULO ADMINISTRATIVO, DEVOLVI-DO  PRAZO  conforme requerido, que começará a fluir a partir da publicação na RPI, observando o disposto no complemento.	FALSO	FALSO
210	RECURSO	0	Informar Cliente.	RECURSO(S) INTERPOSTO(S) contra a decisão indicada.	FALSO	FALSO
211	RECURSO EM TRANSFERÊNCIA	0	Informar Cliente	RECURSO interposto contra a decisão em TRANSFERÊNCIA	FALSO	FALSO
212	RECURSO EM TRANSFORMAÇÃO MARCA	0	Informar Cliente	RECURSO interposto contra a decisão proferida no PEDIDO DE TRANSFORMAÇÃO de marca de PRODUTO ou SERVIÇO, em marca COLETIVA ou de CERTIFICAÇÃO.	FALSO	FALSO
230	ANOTADA ALTERAÇÃO NOME OU SEDE	0	Informar Cliente.	Anotada a ALTERAÇÃO DE NOME E/OU DE SEDE.	FALSO	FALSO
235	TRANSFERÊNCIA ANOTADA	0	Informar Cliente.	Anotada a TRANSFERÊNCIA	FALSO	FALSO
241	SOBRESTAMENTO	0	Analisar despacho e apresentar manifestação.	Pedido de registro momentaneamente SOBRESTADO, aguardan-do   decisao definitiva sobre pedidos anteriores e/ou procedimen-tos em registros colidentes, indicados no complemento	FALSO	FALSO
242	SOBRESTAMENTO	0	Analisar despacho.	Pedido  SOBRESTADO aguardando  decisão definitiva do  pedido de TRANSFERÊNCIA do pedido/registro anterior ou procedimento em registro colidente, indicado no complemento.	FALSO	FALSO
243	SOBRESTAMENTO	0	Analisar despacho	SOBRESTADO o exame de pedido de TRANSFERÊNCIA, obser-vando o disposto no complemento	FALSO	FALSO
245	SOBRESTAMENTO	0	Analisar despacho	SOBRESTADO O AGRUPAMENTO solicitado, até decisão final dos processos indicados abaixo.	FALSO	FALSO
250	NOTIFICAÇÃO	60	Recolha taxas finais do INPI.	Inicia-se nesta data, face a não interposição de recurso,o prazo de 60 dias para comprovar junto ao  INPI  o  recolhimento da  retribui-ções do 1. decênio e da experdição do certificado de registro, sob pena de arquivamento irrecorrível.	FALSO	FALSO
251	SUB JUDICE	0	Analisar despacho	Pedido de registro SUB JUDICE . Notificação de procedimento judi-cial, observando o disposto  no complemento.  Após o  TRÂNSITO EM  JULGADO  das ações judiciais a noticia da decisão será publi-cada no código a ela relativo.	FALSO	FALSO
252	DECISÃO JUDICIAL	0	Analisar despacho	DECIDIDO JUDICIALMENTE conforme indicado no complemento	FALSO	FALSO
260	RECURSO PROVIDO	60	Analisar despacho	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. INDEFERIDO o pedido, com base na norma legal indicada.	FALSO	FALSO
262	RECURSO PROVIDO	60	Analisar despacho	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. DESARQUIVADO o pedido para PROSSEGUIR EXAME.	FALSO	FALSO
267	RECURSO PROVIDO	60	Analisar despacho	RECURSO CONHECIDO E PROVIDO. Reformada decisão recorri-da. Determinado o PROSSEGUIMENTO do pedido de registro.	FALSO	FALSO
269	RECURSO PROVIDO E DEFERIDO	60	Promover recolhimento taxas finais do INPI	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. DEFERIDO o pedido com base no Art. 122  da   LPI.  Inicia-se nesta data o  prazo de  60 dias  para que o requerente   ESPECIFI-QUE  os produtos / serviços a serem protegidos, comprovando jun-to ao INPI o recolhimento das retribuições do 1. decênio e da expe-dição do certificado.  As retribuições  poderão ser recolhidas e com-provadas, conforme Art. 162 da LPI, sob pena de arquivamento de-finitivo do pedido	FALSO	FALSO
270	RECURSO NEGADO	180	Analisar medidas judiciais	RECURSO conhecido. NEGADO PROVIMENTO.MANTIDO INDE-FERIMENTO/ARQUIVAMENTO do pedido de registro.	FALSO	FALSO
272	REC URSO CONHECIDO	180	Analisa despacho	RECURSO CONHECIDO, observando o disposto no complemento.	FALSO	FALSO
273	RECURSO PROVIDO TRANSFERÊNCIA	0	Analisar despacho	RECURSO CONHECIDO E PROVIDO. Reformada a decisão reco -da. Determinado o  PROSSEGUIMENTO  do exame do pedido  de anotação de TRANSFERÊNCIA.	FALSO	FALSO
274	RECURSO DECISÃO TRANSFERÊNCIA	0	Analisar despacho	RECURSO CONHECIDO  em  decisão de pedido de  anotação  de TRANSFERÊNCIA, observando o disposto no complemento.	FALSO	FALSO
276	RECURSO NEGADO / DEFERIMENTO	60	Pagamento das taxas finais e esclarecimentos.	RECURSO  CONHECIDO.  NEGADO  PROVIMENTO.  Mantido  o DEFERIMENTO  do pedido de registro com  base no   Art. 122  da LPI.  Inicia-se nesta data o prazo de  60  dias  para  ESPECIFICAR produtos e serviços  a serem  protegidos,  comprovando  o  recolhi-mento das retribuições do 1.decênio e da expedição do certificado de registro junto ao  INPI.  As retribuições poderão ainda serem  re-colhidas e comprovadas conforme  Art.  162 da  LPI, sob pena  de arquivamento definitivo do pedido.	FALSO	FALSO
277	RECURSO NEGADO	0	Analisar despacho	RECURSO CONHECIDO.  NEGADO PROVIMENTO. MANTIDO O ARQUIVAMENTO do pedido de registro ( Art. 135 da LPI )	FALSO	FALSO
278	RECURSO NEGADO	0	Analisar despacho	RECURSO CONHECIDO. NEGADO PROVIMENTO. MANTIDO O CANCELAMENTO do pedido de registro  ( Art. 89 do CPI ).	FALSO	FALSO
280	MANTIDO DEFERIMENTO	60	Analisar despacho	MANTIDO O DEFERIMENTO do pedido de registro, observando o disposto no complemento.	FALSO	FALSO
285	MANTIDA DECISÃO	0	Analisar despacho	MANTIDO O INDEFERIMENTO / ARQUIVAMENTO do pedido de registro, observando o disposto no complemento.	FALSO	FALSO
286	SOBRESTAMENTO	0	Analisar despacho	SOBRESTADO  o exame do  recurso,  observando  o  disposto  no complemento.	FALSO	FALSO
290	REVOGADO DESPACHO	0		REVOGADO(S) o(s) despacho(s) abaixo indicado(s).	FALSO	FALSO
295	ANULADO DESPACHO	0	Analisar despacho.	ANULADO(S) o(s) despacho(s) abaixo indicado(s)	FALSO	FALSO
296	ANULADO DESPACHO TRANSFERÊNCIA	60	Analisar despacho para eventual recurso	ANULADOS os despachos em  TRANSFERÊNCIA  e/ou nos pedi-dos de  ALTERAÇÃO de nome e/ou sede, conforme abaixo indica-do.	FALSO	FALSO
305	EXIGÊNCIA	60	Cumprir exigência	CUMPRA A EXIGÊNCIA observando o disposto no complemento.	FALSO	FALSO
315	EXIGÊNCIA	60	Cumprir exigência	Recolha ou complemente a  RETRIBUIÇÃO devida, comprovando o cumprimento da exigência junto ao  INPI, observando o disposto no complemento. Recolha também a retribuição do CUMPRIMEN-TO DE EXIGÊNCIA.	FALSO	FALSO
325	ARQUIVAMENTO	60	Analisar despacho	ARQUIVADO o pedido de registro de INDICAÇÃO GEOGRÁFICA, por falta de cumprimento / resposta à EXIGÊNCIA.	FALSO	FALSO
335	PEDIDO PUBLICADO	0	Informar Cliente.	PUBLICADO  o pedido de registro de  INDICAÇÃO  GEOGRÁFICA. Inicia-se  nesta  data  o  prazo  de  60 dias  para  manifestação  de terceiros.	FALSO	FALSO
340	MANIFESTAÇÃO	60	Contestar manifestação	MANIFESTAÇÃO de terceiro indicado no complemento, face à pu-blicação do pedido de registro de INDICAÇÃ  O GEOGRÁFICA	FALSO	FALSO
351	DEFERIMENTO	60	Promover recolhimento das taxas finais	DEFERIDO o pedido de registro, com base no Art. 122 da LPI. Inici-a-se nesta data o prazo de 60 dias para que o Requerente compro-ve junto ao  INPI  o recolhimento das retribuicoes relativas a  prote-ção decenal e à expedição do certificado. A retribuição poderá ain-da ser recolhida e comprovada conforma   Art. 162 da  LPI, sob pe-na de arquivamento definitivo do pedido.	FALSO	FALSO
353	DEFERIMENTO/ESCLARECIMENTOS	60	Pagamento  das taxas finais e esclarecimentos	DEFERIDO  o pedido com base no  ART. 122  da LPI.  Inicia-se o  prazo de 60 (sessenta) dias para que o Requerente ESPECIFIQUE os  PRODUTOS / SERVIÇOS  a serem protegidos,  comprovando junto ao INPI o  recolhimento das retribuições do decênio e da ex-pedição do certificado.  A  retribuição poderá  ainda ser  recolhida conforme Art. 162 da Lpi,  sob pena de arquivamento definitivo do pedido.	FALSO	FALSO
375	INDEFERIMENTO MARCA GEOGRÁFICA	60	Interpor pedido de reconsideração	INDEFERIDO o pedido de registro de  INDICAÇÃO GEOGRÁFICA, observando o disposto no complemento	FALSO	FALSO
380	PEDIDO DE RECONSIDERAÇÃO	0	Informar Cliente	PEDIDO DE RECONSIDERAÇÃO  interposto contra a  decisão  de INDEFERIMENTO do pedido de registro de INDICAÇÃO GEOGRÁ-FICA.	FALSO	FALSO
389	PEDIDO RECONSIDERAÇÃO PROVIDO	3650	Acompanhar registro	PEDIDO DE RECONSIDERAÇÃO CONHECIDO E PROVIDO. RE-CONHECIDA A INDICAÇÃO GEOGRÁFICA, nos termos do Art 182 da LPI. O documento referente ao ato declaratório estará à disposi-ção do requerente na Recepção do  INPI em 60 dias a contar des-ta data.	FALSO	FALSO
390	PEDIDO RECONSIDERAÇÃO NEGADO	0	Analisar medidas juduciais	PEDIDO DE RECONSIDERAÇÃO CONHECIDO. NEGADO PROVI-MENTO.  MANTIDO  INDEFERIMENTO  do  pedido de registro de INDICAÇÃO  GEOGRÁFICA,  tendo em vista o disposto no comple-mento. ENCERRADA a Instância Administrativa.	FALSO	FALSO
397	DEFERIDA INDICAÇÃO GEOGRÁFICA	3650	Apanhar declaração de reconhecimento	RECONHECIDA  A INDICAÇÃO GEOGRÁFICA, nos termos do Art. 182,parágrafo único, da LPI. O documento da declaração estará à disposição do Titular na Recepção INPI após 60 dias a contar des-ta data.	FALSO	FALSO
400	CONCESSÃO REGISTRO	3650	Acompanhar registro no decênio	Comunicação de  CONCESSÃO DE REGISTRO, fixando-se a data desta RPI para o INÍCIO DE SUA VIGÊNCIA. O certificado de regis-tro estará à disposição do titular na recepção do INPI após  60 dias a contar desta data.	FALSO	FALSO
401	CONCESSAO REGISTRO RETIFICACAO	3650	Acompanhar registro no decenio	Comunicação de  CONCESSÃO  DO  REGISTRO  em  RETIFICA-ÇÃO, conforme o indicado no complemento fixando-se a data des-ta RPI para o inicio de sua vigência. O certificado de registro esta-rá à disposição do Titular na recepção, após 60 dias.	FALSO	FALSO
403	CONCESSÃO REGISTRO DESDOBRADO	3650	Localizar desdobramento e acompanhar registro no decênio	Comunicação de CONCESSÃO DO REGISTRO DESDOBRADO fixando-se a data desta RPI para inicio da vigência. O certificado de registro estará a disposição do  Titular na  recepção do  INPI,  após 60 dias a  contar desta data.	FALSO	FALSO
404	CONCESSÃO REGISTRO RETIFICAÇÃO	3650	Localizar desdobramento e acompanhar registro no decênio.	COMUNICAÇÃO DE  CONCESSÃO DO REGISTRO  DESDOBRA-DO EM RETIFICAÇÃO, conforme  indicado no complemento, fixan-do-se a data desta  RPI  para inÍcio da  vigência.  O certificado  de registro estará à disposição do Titular na  Recepção do INPI, após 60 dias a contar desta data.	FALSO	FALSO
405	CONCESSÃO EXPRESSÃO PROPAGANDA	3650	Analisar extinção deste registro na Nova LPI.	COMUNICAÇÃO DE CONCESSÃO DE REGISTRO DE EXPRES-SÃO  DE  PROPAGANDA, fixando-se,  em  face  do  disposto  no item 1 do AN 137/97, a data de  13/05/1997  para o  INÍCIO  DA VIGÊNCIA. O certificado de registro estará à disposição do Titular na Recepção do INPI, após 60 dias a contar desta data.	FALSO	FALSO
406	CONCESSÃO EXPRESSÃO PROPAGANDA	3650	Analisar a extinção deste registro na Nova LPI	Comunicação de  CONCESSÃO DE REGISTRO DE EXPRESSÃO DE PROPAGANDA EM RETIFICAÇÃO,conforme indicado no com-plemento, fixando-se em face do disposto no item 1 do AN 137/97  a data de 13/05/97 para início de sua vigência.O certificado esta-rá à disposição do  titular na  Recepção do  INPI após  60  dias  a contar desta data.	FALSO	FALSO
407	RETIFICAÇÃO MARCA GEOGRÁFICA	3850	Analisar despacho	RETIFICAÇÃO  de  RECONHECIMENTO  DA  INDICAÇÃO  GEO-GRÁFICA, nos termos do  Art. 182, da  LPI,  conforme indicado no complemento. O documento referente ao ato declaratório estará à disposição do Requerente na Recepção do  INPI, após 60 dias a contar desta data.	FALSO	FALSO
410	PETIÇÃO PREJUDICADA	0	Analisar despacho.	NÃO CONHECIDA A PETIÇÃO indicada, observando o disposto no complemento, em pedido de INDICAÇÃO GEOGRÁFICA.	FALSO	FALSO
412	PETIÇÃO PREJUDICADA	0	Analisar despacho	PREJUDICADA A PETIÇÃO indicada.	FALSO	FALSO
413	PETIÇÃO ARQUIVADA	0	Analisar despacho	ARQUIVADA  A PETIÇÃO indicada	FALSO	FALSO
414	PETIÇÃO INDEFERIDA	60	Analisar eventual recurso	INDEFERIDA A PETIÇÃO indicada.	FALSO	FALSO
415	ARQUIVAMENTO MARCA GEOGRÁFICA	0	Informar Cliente.	ARQUIVADO o pedido de registro de INDICAÇÃO GEOGRÁFICA, por DESISTÊNCIA do requerente.	FALSO	FALSO
417	DEVOLUÇÃO DE PRAZO	60	Analisar o prazo e tomar providências	Reconhecido o OBSTÁCULO ADMINISTRATIVO, DEVOLVIDO O PRAZO,  conforme requerido, que começará a fluir a partir da data da publicação na RPI, observando o disposto no complemento.	FALSO	FALSO
420	HOMOLOGADA DESISTÊNCIA	0	Informar Cliente.	HOMOLOGADA DESISTÊNCIA requerida, através da petição indi-cada, em caso de INDICAÇÃO GEOGRÁFICA.	FALSO	FALSO
423	ANULADO DESPACHO	0	Analisar despacho.	ANULADO despacho abaixo indicado.	FALSO	FALSO
425	NOMEADO PERITO	0	Analisar despacho.	NOMEADO PERITO para saneamento de questões técnicas de marca de INDICAÇÃO GEOGRÁFICA.	FALSO	FALSO
430	SOBRESTAMENTO	0	Analisar despacho.	SOBRESTADO o exame do pedido de INDICAÇÃO GEOGRÁ-FICA, observando disposto no complemento.	FALSO	FALSO
435	PEDIDO DE REGISTRO SUB-JUDICE	0	Analisar despacho	Pedido de registro de   INDICAÇÃO  GEOGRÁFICA   SUB-JUDICE. NOTIFICAÇÃO de procedimento judicial, observando o disposto no complemento.	FALSO	FALSO
440	REGISTRO SUB-JUDICE	0	Analisar despacho.	REGISTRO DE INDICAÇÃO GEOGRÁFICA SUB-JUDICE. NOTIFI-CAÇÃO  de  procedimento judicial,  observando o disposto no com-plemento.	FALSO	FALSO
445	DECIDIDO JUDICIALMENTE	0	Analisar despacho.	DECIDIDO JUDICIALMENTE, conforme indicado no complemento, em caso de INDICAÇÃO GEOGRÁFICA.	FALSO	FALSO
450	CONCESSÃO REGISTRO AGRUPADO	3650	Acompanhar registro no decênio	COMUNICAÇÃO DE CONCESSÃO DO REGISTRO AGRUPADO, fixando-se a data desta RPI para o INICIO DE SUA VIGÊNCIA.  O certificado de registro estará à disposição do Titular na Recepção do   INPI, após 60 ( sessenta ) dias a contar desta data.	FALSO	FALSO
451	CONCESSÃO AGRUPADO RETIFICAÇÃO	3650	Acompanhar registro no decênio.	COMUNICAÇÃO  DE  CONCESSÃO DO REGISTRO  AGRUPADO EM RETIFICAÇÃO, conforme indicado no complemento, fixando-se a data desta RPI para o  INÍCIO DE SUA VIGÊNCIA.  O certificado de registro  estará à disposição do  Titular  na  Recepção do  INPI, após 60 dias a contar desta data.	FALSO	FALSO
510	REVISAO ADMINISTRATIVA	60	Apresentar contestacao no prazo legal	Notificação de REVISAO ADMINISTRATIVA instaurada por reque -rimento de terceiros.  Inicia-se,nesta data, o prazo de  60 dias  para que na conformidade do disposto no parágrafo  2  do   Art. 101  do  CPI do registro ofereça contestação ao procedimento ora instaura-do. Declara-se neste ato o interesse público no reexame.	FALSO	FALSO
511	PROCESSO ADM.  DE NULIDADE	60	Apresentar manifestação.	Notificação  de  PROCESSO  ADMINISTRATIVO  DE  NULIDADE instaurado por requerimento de terceiros. Inicia-se nesta o prazo de 60 dias para que, na conformidade do disposto no Art. 170 da LPI, o titular do registro ofereça  CONTESTAÇÃO ao procedimento ora instasurado.  Declara-se neste ato o interesse público no reexame da concessão do registro.	FALSO	FALSO
512	PROC  ADM  NULIDADE EX OFFICIO	60	Apresentar manifestação.	Notificação  de  PROCESSO  ADMINISTRATIVO  DE  NULIDADE instaurado  EX OFFICIO  com base na norma legal indicada.  nicia-se nesta data o prazo de  60 dias para que o titular do registro ofe-reça contestação na conformidade do disposto no Art. 170 da LPI.	FALSO	FALSO
513	REVISÃO ADM. EX OFFICIO	60	Interpor contestação	"Notificação  de  REVISÃO  ADMINISTRATIVA   instaurada    ""EX OFFICIO"" com base na norma legal abaixo indicada. Inicia-se pra-zo de  60 dias  para que o  titular do registro ofereça  contestação  na conformidade do disposto no Art. 101 do CPI."	FALSO	FALSO
515	RECURSO AO MINISTRO	0	Aguardar decisão do recurso	RECURSO interposto ao Sr. MINISTRO DE ESTADO DO DESEN-VOLVIMENTO, INDÚSTRIA  E COMÉRCIO  EXTERIOR, contra a decisão abaixo indicada.	FALSO	FALSO
550	PEDIDO DE CADUCIDADE	60	Apresentar manifestação sobre caducidade	Inicio do prazo de  60 dias para que o  titular do registro cumpra  o disposto no parágrafo único do  Artigo 94 do CPI, face ao procedi-mento de CADUCIDADE ora instaurado.	FALSO	FALSO
552	PEDIDO DE CADUCIDADE	60	Cumprir despacho	Início do prazo de  60 dias para que o titular do  registro  cumpra o disposto no parágrafo segundo do Art. 143  da LPI, face ao proce-dimento de CADUCIDADE ora instaurado.	FALSO	FALSO
560	ANOTADA ALTERAÇÃO NOME OU SEDE	0	Aguardar certificado no caso de registro	ANOTADA A ALTERAÇÃO DE NOME / SEDE.	FALSO	FALSO
565	ANOTADA TRANSFERÊNCIA	0	Aguardar certificado no caso de registro	ANOTADA A TRANSFERÊNCIA	FALSO	FALSO
567	SOBRESTAMENTO TRANSFERÊNCIA	0	Analisar despacho.	SOBRESTADO o exame de pedido de TRANSFERÊNCIA,  obser-vando o  disposto no complemento.	FALSO	FALSO
569	SUB JUDICE	0	Analisar despacho	Registro SUB JUDICE. NOTIFICAÇÃO DE PROCEDIMENTO JUDI-CIAL, conforme indicado no complemento. Após o trânsito em julga-do das açòes judiciais a noticia da decisão será  publicada no códi-go a ela relativo.	FALSO	FALSO
